,MANUAL ID,TRUE POSITIVE,FALSE NEGATIVE,FALSE POSITIVE,PRECISION,RECALL,F1,COUNT
290,Dubusia taeniata,14.37628118,0.6723129252,0.6098639456,0.9593,0.9553,0.9573,88
291,Dysithamnus mentalis,2.069795918,5.260090703,0.5348752834,0.7946,0.2824,0.4167,12
292,Egretta caerulea,10.70054422,1.706077098,1.601904762,0.8698,0.8625,0.8661,51
293,Egretta thula,3.656485261,0,3.097165533,0.5414,1,0.7025,14
294,Elaenia albiceps,19.92183673,11.57759637,5.456417234,0.785,0.6325,0.7005,56
295,Elaenia chiriquensis,9.046258503,8.063809524,3.581746032,0.7164,0.5287,0.6084,46
296,Elaenia cristata,4.038548753,0.5419727891,0.9846938776,0.804,0.8817,0.841,17
297,Elaenia gigas,0.7327437642,0.01532879819,0.1277324263,0.8516,0.9795,0.9111,47
298,Elaenia pallatangae,6.551201814,1.067800454,3.557596372,0.6481,0.8599,0.7391,31
299,Elaenia parvirostris,8.488480726,2.932562358,7.452108844,0.5325,0.7432,0.6205,39
300,Elaenia spectabilis,4.377165533,0.4024036281,0.2740136054,0.9411,0.9158,0.9283,107
301,Elanoides forficatus,8.107414966,0.0373015873,0.6367800454,0.9272,0.9954,0.9601,4
302,Elanus leucurus,41.31115646,8.6238322,8.549433107,0.8285,0.8273,0.8279,195
303,Electron platyrhynchum,11.25621315,2.004648526,1.534036281,0.8801,0.8488,0.8642,37
304,Emberizoides herbicola,28.1254195,4.241315193,2.66675737,0.9134,0.869,0.8906,43
305,Empidonax alnorum,1.808435374,0.6808163265,0.005510204082,0.997,0.7265,0.8405,140
306,Empidonomus varius,13.09854875,8.874965986,4.947936508,0.7258,0.5961,0.6546,35
307,Entomodestes leucotis,8.75814059,1.512947846,3.660521542,0.7052,0.8527,0.772,33
308,Epinecrophylla amazonica,26.66303855,11.65564626,3.546326531,0.8826,0.6958,0.7782,29
309,Epinecrophylla erythrura,38.18473923,16.29170068,0.8429705215,0.9784,0.7009,0.8167,55
310,Epinecrophylla haematonota,20.56514739,7.014739229,1.812879819,0.919,0.7457,0.8233,59
311,Epinecrophylla leucophthalma,12.70664399,0.4032653061,0.7119501134,0.9469,0.9692,0.958,62
312,Epinecrophylla ornata,21.83596372,2.414353741,4.61600907,0.8255,0.9004,0.8613,37
313,Eubucco richardsoni,7.399251701,0.08770975057,6.129229025,0.5469,0.9883,0.7042,19
314,Eubucco tucinkae,14.04324263,0.1221088435,0.3986621315,0.9724,0.9914,0.9818,52
315,Euchrepomis callinota,7.463151927,2.056553288,1.536825397,0.8292,0.784,0.806,17
316,Euchrepomis humeralis,39.32879819,14.77875283,3.774399093,0.9124,0.7269,0.8091,89
317,Eucometis penicillata,16.41410431,1.911519274,0.4230839002,0.9749,0.8957,0.9336,21
318,Eupetomena macroura,11.52043084,4.075918367,4.670453515,0.7115,0.7387,0.7248,47
319,Euphonia chlorotica,27.5821542,10.89022676,5.183197279,0.8418,0.7169,0.7744,74
320,Euphonia chrysopasta,21.98634921,7.958117914,5.827619048,0.7905,0.7342,0.7613,66
321,Euphonia cyanocephala,14.71963719,0.3762811791,0.9082312925,0.9419,0.9751,0.9582,58
322,Euphonia laniirostris,43.00732426,1.859387755,2.96952381,0.9354,0.9586,0.9468,174
323,Euphonia mesochrysa,20.7137415,11.77394558,5.472358277,0.791,0.6376,0.7061,90
324,Euphonia rufiventris,17.49263039,3.017528345,1.786439909,0.9073,0.8529,0.8793,28
325,Euphonia xanthogaster,2.566326531,0.1931519274,0.8418367347,0.753,0.93,0.8322,73
326,Eupsittula aurea,29.56213152,1.90122449,2.169047619,0.9316,0.9396,0.9356,38
327,Eurypyga helias,6.045555556,2.113424036,0.8645578231,0.8749,0.741,0.8024,17
328,Euscarthmus meloryphus,8.363514739,0.6363038549,4.683061224,0.6411,0.9293,0.7587,26
329,Eutoxeres condamini,58.27095238,0.4681179138,2.45,0.9597,0.992,0.9756,28
330,Falco deiroleucus,18.47272109,4.783174603,1.10877551,0.9434,0.7943,0.8625,20
331,Falco femoralis,39.65589569,5.922721088,42.81786848,0.4808,0.8701,0.6194,95
332,Falco peregrinus,19.87045351,1.883877551,1.069410431,0.9489,0.9134,0.9308,17
333,Falco rufigularis,31.16866213,0.3875510204,0.4127210884,0.9869,0.9877,0.9873,7
334,Falco sparverius,55.5354195,14.16092971,3.627437642,0.9387,0.7968,0.862,41
335,Florisuga mellivora,1.550090703,0.3098185941,0.2638548753,0.8545,0.8334,0.8438,69
336,Fluvicola albiventer,4.163015873,1.125260771,6.273469388,0.3989,0.7872,0.5295,55
337,Formicarius analis,3.651020408,0.05,2.393333333,0.604,0.9865,0.7493,36
338,Formicarius colma,14.28945578,0.2786621315,0.4314512472,0.9707,0.9809,0.9758,11
339,Formicarius rufifrons,34.80356009,2.796122449,2.801043084,0.9255,0.9256,0.9256,31
340,Formicarius rufipectus,3.213560091,0.0212244898,2.982970522,0.5186,0.9934,0.6815,141
341,Formicivora rufa,26.82782313,1.112426304,1.82585034,0.9363,0.9602,0.9481,76
342,Forpus modestus,11.32011338,0.7807936508,0.493877551,0.9582,0.9355,0.9467,71
343,Forpus xanthopterygius,52.37297052,4.219002268,10.35036281,0.835,0.9254,0.8779,79
344,Furnarius leucopus,25.84537415,1.55446712,3.377256236,0.8844,0.9433,0.9129,61
345,Galbalcyrhynchus purusianus,22.60544218,29.09473923,2.557346939,0.8984,0.4372,0.5882,33
346,Galbula cyanescens,4.715600907,0.2236054422,1.051836735,0.8176,0.9547,0.8809,51
347,Galbula cyanicollis,15.1961678,0.1199319728,0.7931519274,0.9504,0.9922,0.9708,27
348,Galbula dea,15.05836735,4.160612245,2.383514739,0.8633,0.7835,0.8215,124
349,Galbula leucogastra,49.10045351,1.188979592,2.201927438,0.9571,0.9764,0.9666,24
350,Gallinago paraguaiae,4.344580499,1.660022676,1.306689342,0.7688,0.7235,0.7455,18
351,Gallinula galeata,3.712290249,0.2038095238,0.03188208617,0.9915,0.948,0.9692,42
352,Gampsonyx swainsonii,18.91251701,0.04650793651,0.4130839002,0.9786,0.9975,0.988,36
353,Geothlypis aequinoctialis,178.6170295,14.22637188,6.010861678,0.9674,0.9262,0.9464,99
354,Geotrygon montana,4.158072562,8.15106576,4.772403628,0.4656,0.3378,0.3915,61
355,Geotrygon saphirina,34.69666667,0.9702494331,1.657256236,0.9544,0.9728,0.9635,79
356,Geotrygon violacea,11.20585034,0.9724489796,0.8406802721,0.9302,0.9201,0.9252,12
357,Geranoaetus albicaudatus,1.348979592,0,0.6510204082,0.6745,1,0.8056,3
358,Geranospiza caerulescens,9.421133787,0.9409297052,3.919319728,0.7062,0.9092,0.7949,29
359,Glaucidium brasilianum,29.4276644,2.847823129,2.342857143,0.9263,0.9118,0.919,35
360,Glaucidium parkeri,22.71707483,1.152517007,0.8178004535,0.9653,0.9517,0.9584,15
361,Glaucis hirsutus,7.789614512,0,0.9514058957,0.8912,1,0.9424,25
362,Glyphorynchus spirurus,9.638662132,0.8295464853,5.56553288,0.6339,0.9208,0.7509,35
363,Gnorimopsar chopi,10.07875283,1.309138322,1.060770975,0.9048,0.885,0.8948,59
364,Grallaria eludens,31.88886621,23.05138322,2.663786848,0.9229,0.5804,0.7127,38
365,Grallaria erythroleuca,7.681655329,1.058662132,0.8532653061,0.9,0.8789,0.8893,38
366,Grallaria guatimalensis,5.922176871,4.370702948,21.56628118,0.2154,0.5754,0.3135,83
367,Grallaricula flavirostris,2.722879819,1.256825397,0.5096371882,0.8423,0.6842,0.7551,10
368,Grallaricula leymebambae,40.77471655,3.30324263,1.71755102,0.9596,0.9251,0.942,24
369,Gymnomystax mexicanus,12.61938776,15.1561678,2.543424036,0.8323,0.4543,0.5878,37
370,Habia rubica,7.425986395,1.028526077,3.27170068,0.6942,0.8783,0.7755,18
371,Hafferia fortis,81.12244898,6.674217687,1.365986395,0.9834,0.924,0.9528,35
372,Haplophaedia assimilis,12.70614512,1.969773243,1.921723356,0.8686,0.8658,0.8672,142
373,Haplospiza rustica,56.79970522,10.92154195,4.099614512,0.9327,0.8387,0.8832,104
374,Harpagus bidentatus,19.24346939,1.928253968,1.361201814,0.9339,0.9089,0.9213,26
375,Harpia harpyja,16.36058957,0.597845805,0.6161451247,0.9637,0.9647,0.9642,10
376,Helicolestes hamatus,47.16938776,5.609455782,11.69099773,0.8014,0.8937,0.845,83
377,Heliodoxa aurescens,38.07176871,3.155759637,7.567256236,0.8342,0.9235,0.8766,124
378,Heliodoxa branickii,19.43750567,0,0.07412698413,0.9962,1,0.9981,1
379,Heliodoxa leadbeateri,13.12024943,6.770521542,2.088956916,0.8627,0.6596,0.7476,52
380,Heliodoxa schreibersii,16.38580499,2.126984127,0.4281632653,0.9745,0.8851,0.9277,57
381,Heliomaster longirostris,17.78673469,3.828072562,10.55834467,0.6275,0.8229,0.712,99
382,Heliornis fulica,3.488956916,1.856893424,0.394739229,0.8984,0.6526,0.756,79
383,Heliothryx auritus,0.6970521542,2.062154195,2.163492063,0.2437,0.2526,0.2481,28
384,Hemithraupis flavicollis,2.48414966,0.4157596372,1.190272109,0.6761,0.8566,0.7557,64
385,Hemithraupis guira,3.828730159,3.332585034,2.673582766,0.5888,0.5346,0.5604,20
386,Hemitriccus cohnhafti,34.57126984,20.44873016,12.32190476,0.7372,0.6283,0.6784,204
387,Hemitriccus flammulatus,5.339183673,0.5719047619,12.59106576,0.2978,0.9032,0.4479,58
388,Hemitriccus griseipectus,75.13643991,8.031405896,34.21340136,0.6871,0.9034,0.7806,179
389,Hemitriccus iohannis,22.47496599,0.3053287982,4.25478458,0.8408,0.9866,0.9079,16
390,Hemitriccus rufigularis,62.12725624,2.836689342,5.080340136,0.9244,0.9563,0.9401,84
391,Henicorhina leucophrys,29.78600907,1.766530612,7.54462585,0.7979,0.944,0.8648,66
392,Herpetotheres cachinnans,37.10659864,5.301111111,1.956780045,0.9499,0.875,0.9109,91
393,Herpsilochmus axillaris,27.94936508,0.9285487528,1.700839002,0.9426,0.9678,0.9551,24
394,Herpsilochmus motacilloides,12.82056689,6.325487528,3.505079365,0.7853,0.6696,0.7229,31
395,Herpsilochmus rufimarginatus,7.110884354,0.08922902494,1.028956916,0.8736,0.9876,0.9271,44
396,Heterocercus linteatus,7.683560091,0.6264399093,0.6885260771,0.9178,0.9246,0.9212,10
397,Himantopus mexicanus,118.3037642,8.281564626,30.51024943,0.795,0.9346,0.8591,193
398,Hirundinea ferruginea,47.29591837,1.513061224,3.939546485,0.9231,0.969,0.9455,52
399,Hydropsalis maculicaudus,16.99648526,0.919478458,1.050090703,0.9418,0.9487,0.9452,51
400,Hydropsalis torquata,3.806394558,1.164535147,1.49585034,0.7179,0.7657,0.741,174
401,Hylexetastes stresemanni,45.49433107,1.167460317,18.90854875,0.7064,0.975,0.8192,49
402,Hylopezus berlepschi,3.026802721,7.474217687,0.08950113379,0.9713,0.2882,0.4446,11
403,Hylophilus thoracicus,19.92251701,2.536507937,4.170453515,0.8269,0.8871,0.8559,29
404,Hylophylax naevius,53.38984127,0.9480725624,1.145102041,0.979,0.9826,0.9808,33
405,Hylophylax punctulatus,40.41142857,0.5774829932,0.8676417234,0.979,0.9859,0.9824,34
406,Hypocnemis peruviana,15.32356009,0.3154421769,9.354263039,0.6209,0.9798,0.7602,25
407,Hypocnemis subflava,35.89725624,1.058888889,3.706666667,0.9064,0.9713,0.9378,25
408,Hypocnemoides maculicauda,69.84351474,11.05893424,10.92405896,0.8647,0.8633,0.864,67
409,Ibycter americanus,36.67984127,0.8277324263,1.63755102,0.9573,0.9779,0.9675,32
410,Icterus croconotus,33.56337868,3.735827664,2.366870748,0.9341,0.8998,0.9167,40
411,Ictinia mississippiensis,9.976780045,0.5697052154,1.514104308,0.8682,0.946,0.9054,23
412,Ictinia plumbea,6.388662132,1.155260771,2.760657596,0.6983,0.8469,0.7654,31
413,Inezia inornata,6.608049887,0.7274603175,1.750453515,0.7906,0.9008,0.8421,9
414,Iodopleura isabellae,18.78947846,5.132834467,15.06020408,0.5551,0.7854,0.6505,68
415,Iridophanes pulcherrimus,3.01814059,0.4829024943,0.4004761905,0.8829,0.8621,0.8723,22
416,Iridosornis analis,32.42528345,13.85653061,7.185102041,0.8186,0.7006,0.755,118
417,Iridosornis jelskii,17.49446712,5.903015873,6.346326531,0.7338,0.7477,0.7407,45
418,Isleria hauxwelli,20.85730159,0.2711337868,3.831746032,0.8448,0.9872,0.9105,72
419,Ixobrychus exilis,1.850997732,0.7796371882,1.381564626,0.5726,0.7036,0.6314,57
420,Ixobrychus involucris,2.165646259,0.05866213152,0.4622675737,0.8241,0.9736,0.8926,125
421,Jabiru mycteria,13.58818594,14.67356009,1.272267574,0.9144,0.4808,0.6302,58
422,Jacamerops aureus,14.29752834,4.81585034,0.865260771,0.9429,0.748,0.8343,12
423,Jacana jacana,6.712199546,0,3.881020408,0.6336,1,0.7757,9
424,Klais guimeti,8.713809524,3.248231293,4.728095238,0.6483,0.7285,0.686,76
425,Knipolegus aterrimus,1.6569161,0.8596145125,2.087278912,0.4425,0.6584,0.5293,8
426,Knipolegus hudsoni,6.869319728,1.645487528,1.316689342,0.8392,0.8067,0.8226,17
427,Knipolegus poecilurus,14.28129252,7.939501134,3.625782313,0.7975,0.6427,0.7118,61
428,Lamprospiza melanoleuca,35.09732426,9.017732426,55.1076644,0.3891,0.7956,0.5226,149
429,Laniisoma elegans,31.74181406,5.447120181,24.18854875,0.5675,0.8535,0.6817,95
430,Lanio versicolor,19.39507937,1.579795918,8.512018141,0.695,0.9247,0.7935,43
431,Laniocera hypopyrra,28.13721088,3.811927438,3.281473923,0.8956,0.8807,0.8881,157
432,Laterallus exilis,4.558163265,0.2951247166,0,1,0.9392,0.9686,28
433,Laterallus melanophaius,28.04356009,0.1469387755,0.7562811791,0.9737,0.9948,0.9842,51
434,Lathrotriccus euleri,30.47473923,13.13156463,10.80442177,0.7383,0.6989,0.718,55
435,Legatus leucophaius,40.09244898,2.580294785,3.372585034,0.9224,0.9395,0.9309,110
436,Leistes militaris,4.063764172,0.5351247166,2.494353741,0.6197,0.8836,0.7285,19
437,Leistes superciliaris,13.64199546,5.79,3.96276644,0.7749,0.702,0.7367,51
438,Lepidocolaptes fatimalimae,2.421496599,0,0.7878231293,0.7545,1,0.8601,7
439,Lepidocolaptes fuscicapillus,36.26002268,2.008571429,3.64707483,0.9086,0.9475,0.9277,36
440,Lepidocolaptes lacrymiger,17.71492063,0.1939002268,5.727052154,0.7557,0.9892,0.8568,64
441,Lepidothrix coronata,50.74022676,6.412358277,7.968526077,0.8643,0.8878,0.8759,126
442,Leptodon cayanensis,31.55204082,1.072222222,1.773628118,0.9468,0.9671,0.9568,51
443,Leptopogon amaurocephalus,2.636802721,0,1.735283447,0.6031,1,0.7524,47
444,Leptopogon superciliaris,6.452834467,0.6597052154,0.5239229025,0.9249,0.9072,0.916,39
445,Leptopogon taczanowskii,24.0499093,4.976054422,3.159433107,0.8839,0.8286,0.8553,56
446,Leptosittaca branickii,11.16814059,2.490748299,2.622562358,0.8098,0.8176,0.8137,28
447,Leptotila rufaxilla,22.57126984,2.396485261,1.149727891,0.9515,0.904,0.9272,37
448,Leptotila verreauxi,8.613945578,2.886893424,4.590430839,0.6524,0.749,0.6973,79
449,Leucopternis kuhli,1.519274376,0.9511337868,0.03886621315,0.9751,0.615,0.7543,15
450,Leucopternis melanops,21.18244898,5.570090703,11.00759637,0.658,0.7918,0.7187,17
451,Limnodromus griseus,22.71399093,2.092970522,1.495351474,0.9382,0.9156,0.9268,34
452,Limosa haemastica,34.8129932,1.081088435,9.524557823,0.7852,0.9699,0.8678,53
453,Liosceles thoracicus,40.02977324,5.193673469,143.6215646,0.218,0.8852,0.3498,138
454,Lochmias nematura,99.30170068,11.78820862,5.903764172,0.9439,0.8939,0.9182,38
455,Lophornis chalybeus,0.4439909297,0.6828344671,2.230408163,0.166,0.394,0.2336,6
456,Lophostrix cristata,13.48725624,12.36435374,3.631678005,0.7879,0.5217,0.6277,72
457,Lophotriccus eulophotes,6.330272109,0.4666213152,0.3208843537,0.9518,0.9313,0.9414,55
458,Lophotriccus pileatus,9.516485261,0.1246031746,0.8600453515,0.9171,0.9871,0.9508,16
459,Lurocalis rufiventris,25.62342404,1.092063492,2.33,0.9166,0.9591,0.9374,42
460,Lurocalis semitorquatus,8.098843537,2.658888889,0.7849206349,0.9116,0.7528,0.8247,53
461,Machaeropterus pyrocephalus,7.833197279,6.387029478,19.67843537,0.2847,0.5508,0.3754,67
462,Malacoptila fulvogularis,36.7654195,1.632222222,1.553424036,0.9595,0.9575,0.9585,31
463,Malacoptila semicincta,3.652040816,5.936077098,3.48755102,0.5115,0.3809,0.4366,59
464,Margarornis squamiger,22.12650794,11.39104308,3.952244898,0.8484,0.6601,0.7425,83
465,Mazaria propinqua,1.973628118,8.035714286,7.631088435,0.2055,0.1972,0.2012,50
466,Mecocerculus leucophrys,68.29188209,19.34893424,9.523650794,0.8776,0.7792,0.8255,191
467,Megaceryle torquata,21.17630385,4.173560091,2.405056689,0.898,0.8354,0.8656,43
468,Megarynchus pitangua,18.17326531,0.366462585,1.767006803,0.9114,0.9802,0.9446,275
469,Megascops centralis,3.368095238,0.03303854875,1.083718821,0.7566,0.9903,0.8578,32
470,Megascops choliba,21.14276644,1.297619048,6.601496599,0.7621,0.9422,0.8426,51
471,Megascops ingens,21.42263039,0.1062811791,1.175487528,0.948,0.9951,0.971,21
472,Megascops roraimae,21.46718821,0.06258503401,1.038072562,0.9539,0.9971,0.975,83
473,Melanerpes candidus,14.90623583,1.569750567,0.5356462585,0.9653,0.9047,0.934,25
474,Melanerpes cruentatus,5.60877551,0.1613151927,1.217142857,0.8217,0.972,0.8906,5
475,Mesembrinibis cayennensis,18.89160998,2.946575964,3.364172336,0.8488,0.8651,0.8569,70
476,Metallura aeneocauda,17.5693424,0.05351473923,0.2911337868,0.9837,0.997,0.9903,3
477,Metopothrix aurantiaca,17.09056689,2.5338322,6.651836735,0.7198,0.8709,0.7882,48
478,Metriopelia ceciliae,0.6657823129,0.2506122449,0.4970068027,0.5726,0.7265,0.6404,3
479,Metriopelia melanoptera,5.72170068,0.1319047619,1.5130839,0.7909,0.9775,0.8743,13
480,Micrastur buckleyi,37.12480726,11.35464853,4.526371882,0.8913,0.7658,0.8238,65
481,Micrastur gilvicollis,39.45714286,2.761814059,21.65229025,0.6457,0.9346,0.7637,127
482,Micrastur mirandollei,30.24290249,0.4158956916,6.101678005,0.8321,0.9864,0.9027,44
483,Micrastur ruficollis,60.60659864,9.393106576,17.57712018,0.7752,0.8658,0.818,166
484,Micrastur semitorquatus,40.67727891,11.83006803,7.388390023,0.8463,0.7747,0.8089,60
485,Microbates cinereiventris,35.44929705,1.081609977,2.263287982,0.94,0.9704,0.9549,62
486,Microcerculus bambla,26.51081633,4.403197279,3.047301587,0.8969,0.8576,0.8768,10
487,Microcerculus marginatus,13.71891156,0.5793877551,0.6531746032,0.9546,0.9595,0.957,13
488,Micromonacha lanceolata,10.18433107,0.001179138322,0.07149659864,0.993,0.9999,0.9964,3
489,Micropygia schomburgkii,126.8535828,12.70807256,7.571836735,0.9437,0.9089,0.926,107
490,Microrhopias quixensis,31.13260771,16.64580499,10.73811791,0.7435,0.6516,0.6945,72
491,Microxenops milleri,8.453061224,0.6382312925,0.1515646259,0.9824,0.9298,0.9554,9
492,Milvago chimachima,89.88172336,2.546439909,1.79276644,0.9804,0.9724,0.9764,28
493,Mimus triurus,7.353922902,3.132811791,2.111269841,0.7769,0.7013,0.7372,23
494,Mionectes macconnelli,43.69138322,7.029319728,7.909047619,0.8467,0.8614,0.854,73
495,Mionectes oleagineus,64.32253968,20.00185941,4.566734694,0.9337,0.7628,0.8396,92
496,Mionectes olivaceus,50.94462585,2.932494331,1.818321995,0.9655,0.9456,0.9554,15
497,Mionectes striaticollis,6.132312925,2.67739229,0.7747165533,0.8878,0.6961,0.7804,149
498,Mitu tuberosum,50.98136054,4.128435374,3.174739229,0.9414,0.9251,0.9332,45
499,Molothrus bonariensis,64.3552381,27.16723356,7.737755102,0.8927,0.7032,0.7867,109
500,Molothrus oryzivorus,4.008888889,0.9291609977,0.5725396825,0.875,0.8118,0.8422,6
501,Momotus aequatorialis,22.11049887,0.503015873,2.949931973,0.8823,0.9778,0.9276,31
502,Momotus momota,7.552585034,6.667414966,1.982358277,0.7921,0.5311,0.6359,44
503,Monasa flavirostris,33.77773243,2.617800454,1.222267574,0.9651,0.9281,0.9462,12
504,Monasa morphoeus,25.30108844,0,0.1407709751,0.9945,1,0.9972,74
505,Monasa nigrifrons,97.49272109,16.93659864,1.605600907,0.9838,0.852,0.9132,52
506,Morphnus guianensis,0.8092063492,0.3529024943,0.004739229025,0.9942,0.6963,0.819,3
507,Myadestes ralloides,29.14344671,22.6685034,12.78684807,0.695,0.5625,0.6218,61
508,Mycteria americana,263.7731519,80.57863946,21.59024943,0.9243,0.766,0.8378,350
509,Myiarchus cephalotes,10.60120181,3.196417234,1.282585034,0.8921,0.7683,0.8256,21
510,Myiarchus ferox,42.88043084,18.13360544,11.09641723,0.7944,0.7028,0.7458,95
511,Myiarchus swainsoni,27.2915873,1.720113379,3.382222222,0.8897,0.9407,0.9145,34
512,Myiarchus tuberculifer,5.804489796,2.506326531,3.288548753,0.6383,0.6984,0.667,7
513,Myiarchus tyrannulus,35.5455102,6.615124717,8.745351474,0.8025,0.8431,0.8223,69
514,Myiobius atricaudus,15.70782313,14.67836735,6.423424036,0.7098,0.5169,0.5982,64
515,Myiobius barbatus,10.33526077,8.03138322,4.743514739,0.6854,0.5627,0.618,28
516,Myiobius villosus,13.71181406,3.827891156,2.21845805,0.8607,0.7818,0.8194,38
517,Myioborus melanocephalus,28.55936508,1.776530612,8.517619048,0.7703,0.9414,0.8473,48
518,Myioborus miniatus,17.54848073,10.45995465,0.9545124717,0.9484,0.6265,0.7546,26
519,Myiodynastes chrysocephalus,14.59884354,1.090657596,6.657006803,0.6868,0.9305,0.7903,33
520,Myiodynastes luteiventris,16.08238095,0.8579818594,0.9641269841,0.9434,0.9494,0.9464,206
521,Myiodynastes maculatus,37.69877551,20.50650794,6.11,0.8605,0.6477,0.7391,110
522,Myiopagis caniceps,62.72675737,13.74920635,10.06399093,0.8617,0.8202,0.8405,94
523,Myiopagis gaimardii,16.25959184,2.929002268,15.63231293,0.5098,0.8474,0.6366,70
524,Myiopagis viridicata,10.21641723,1.823673469,29.42537415,0.2577,0.8485,0.3954,48
525,Myiophobus fasciatus,6.20399093,0.4248072562,1.61,0.794,0.9359,0.8591,19
526,Myiophobus inornatus,3.757188209,0.7053968254,2.070612245,0.6447,0.8419,0.7302,9
527,Myiornis ecaudatus,28.98301587,4.355623583,1.770884354,0.9424,0.8694,0.9044,26
528,Myiotheretes fumigatus,35.40126984,3.150907029,2.520725624,0.9335,0.9183,0.9258,26
529,Myiotheretes fuscorufus,20.19961451,12.51442177,14.52172336,0.5818,0.6175,0.5991,40
530,Myiotheretes striaticollis,10.15138322,4.257619048,1.685782313,0.8576,0.7045,0.7736,26
531,Myiothlypis bivittata,47.78913832,0.786031746,4.661428571,0.9111,0.9838,0.9461,27
532,Myiothlypis chrysogaster,46.61893424,7.07462585,27.03231293,0.633,0.8682,0.7322,71
533,Myiothlypis coronata,75.82356009,6.034217687,8.806054422,0.8959,0.9263,0.9109,41
534,Myiothlypis fulvicauda,57.65900227,12.548322,3.126575964,0.9486,0.8213,0.8803,36
535,Myiothlypis luteoviridis,40.50011338,0.5871201814,1.406825397,0.9664,0.9857,0.976,19
536,Myiotriccus ornatus,69.8429932,15.54385488,7.971020408,0.8976,0.818,0.8559,114
537,Myiozetetes cayanensis,54.38680272,1.198390023,7.628684807,0.877,0.9784,0.9249,37
538,Myiozetetes granadensis,58.89117914,10.90360544,11.33401361,0.8386,0.8438,0.8412,92
539,Myiozetetes luteiventris,9.695011338,2.148231293,21.77018141,0.3081,0.8186,0.4477,45
540,Myiozetetes similis,29.08904762,16.18031746,4.366190476,0.8695,0.6426,0.739,54
541,Myrmelastes brunneiceps,43.72043084,22.95718821,11.48895692,0.7919,0.6557,0.7174,85
542,Myrmelastes humaythae,25.65344671,10.1260771,5.475759637,0.8241,0.717,0.7668,31
543,Myrmelastes hyperythrus,26.50473923,4.127709751,6.181269841,0.8109,0.8653,0.8372,26
544,Myrmelastes leucostigma,29.8722449,0.7764399093,2.127755102,0.9335,0.9747,0.9536,2
545,Myrmoborus leucophrys,35.88820862,0.7832653061,5.595646259,0.8651,0.9786,0.9184,22
546,Myrmoborus lophotes,47.6054195,8.676643991,1.883764172,0.9619,0.8458,0.9002,36
547,Myrmophylax atrothorax,15.79802721,1.641678005,1.458276644,0.9155,0.9059,0.9107,22
548,Myrmothera campanisona,21.42371882,1.952902494,4.36015873,0.8309,0.9165,0.8716,25
549,Myrmotherula axillaris,16.69823129,2.222199546,0.1622222222,0.9904,0.8826,0.9334,14
550,Myrmotherula brachyura,38.96487528,4.169319728,7.166099773,0.8447,0.9033,0.873,47
551,Myrmotherula grisea,33.15011338,0.8479591837,2.678412698,0.9252,0.9751,0.9495,22
552,Myrmotherula iheringi,217.5946939,12.66380952,37.64446712,0.8525,0.945,0.8964,176
553,Myrmotherula longicauda,14.05707483,4.863718821,1.856122449,0.8834,0.7429,0.8071,15
554,Myrmotherula longipennis,38.43231293,16.33764172,3.581020408,0.9148,0.7017,0.7942,39
555,Myrmotherula menetriesii,51.14804989,1.813151927,4.828684807,0.9137,0.9658,0.939,15
556,Myrmotherula multostriata,51.50176871,13.1860771,4.009977324,0.9278,0.7962,0.8569,83
557,Myrmotherula schisticolor,28.13206349,19.52888889,9.821587302,0.7412,0.5903,0.6572,85
558,Myrmotherula sclateri,66.3807483,9.118798186,19.22401361,0.7754,0.8792,0.8241,154
559,Nannopsittaca dachilleae,13.52328798,0.2832426304,0.7525396825,0.9473,0.9795,0.9631,14
560,Nasica longirostris,2.250453515,0.5675510204,1.239750567,0.6448,0.7986,0.7135,9
561,Nemosia pileata,19.30603175,10.95145125,2.081564626,0.9027,0.6381,0.7476,45
562,Neoctantes niger,129.8862132,7.255578231,12.69006803,0.911,0.9471,0.9287,164
563,Neomorphus geoffroyi,7.273038549,0.9361451247,1.096825397,0.869,0.886,0.8774,6
564,Neopelma sulphureiventer,14.51714286,1.765510204,0.5758730159,0.9618,0.8916,0.9254,16
565,Neopipo cinnamomea,30.18643991,7.005555556,0.2089115646,0.9931,0.8116,0.8933,11
566,Nephelomyias pulcher,4.575170068,0.203537415,1.685260771,0.7308,0.9574,0.8289,13
567,Netta peposaca,8.787709751,1.272721088,1.964988662,0.8173,0.8735,0.8444,13
568,Nomonyx dominicus,43.30678005,16.73106576,1.972471655,0.9564,0.7213,0.8224,79
569,Nonnula ruficapilla,28.76877551,2.477120181,11.48761905,0.7146,0.9207,0.8047,36
570,Nonnula sclateri,7.336190476,3.399274376,2.34877551,0.7575,0.6834,0.7185,9
571,Notharchus hyperrhynchus,53.50324263,0.4266439909,19.70120181,0.7309,0.9921,0.8417,48
572,Notharchus ordii,62.69891156,1.474421769,6.406031746,0.9073,0.977,0.9409,20
573,Notharchus tectus,13.97780045,4.295487528,3.603650794,0.795,0.7649,0.7797,25
574,Nothocercus nigrocapillus,10.14498866,3.528684807,1.134126984,0.8994,0.7419,0.8131,19
575,Nyctibius aethereus,19.60578231,5.163809524,2.374557823,0.892,0.7915,0.8388,24
576,Nyctibius bracteatus,3.949365079,0,3.725102041,0.5146,1,0.6795,9
577,Nyctibius grandis,21.26585034,6.149546485,27.26829932,0.4382,0.7757,0.56,59
578,Nyctibius griseus,45.36895692,25.4131746,42.95907029,0.5136,0.641,0.5703,163
